"List Position, Division and Permission GSA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
No,Position,,,Division,,,Menu ,Permission,,,,,,,
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,OPS,OPS,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,,,,,,,Executed job,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Finance,Finance,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Jobsheet,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Invoice,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,Staff,Staff,Active,CS,CS,Active,Shippinginstruction,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,,,,,,,Job,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Job List,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Sales Order,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
,,,,,,,Jobsheet,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Key account,Key account,Active,Shippinginstruction,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,Sales,Sales,Active,Shippinginstruction,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Job,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job List,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Executed job,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Sales Order,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
,,,,,,,Jobsheet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Invoice,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,OPS,OPS,Active,Shippinginstruction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,Job,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
,,,,,,,Job List,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
